Country,Date,full[%]
Austria,2018-04-12,16.19
Belgium,2018-04-12,0.05
Bulgaria,2018-04-12,26.17
Croatia,2018-04-12,25.75
Czech Republic,2018-04-12,22.64
Denmark,2018-04-12,12.83
France,2018-04-12,3.31
Germany,2018-04-12,15.41
Hungary,2018-04-12,21.56
Ireland,2018-04-12,-
Italy,2018-04-12,35.92
Latvia,2018-04-12,13.97
Netherlands,2018-04-12,8.53
Poland,2018-04-12,36.75
Portugal,2018-04-12,51.49
Romania,2018-04-12,15.11
Slovakia,2018-04-12,5.53
Spain,2018-04-12,59.07
Sweden,2018-04-12,7.31
United Kingdom (Pre-Brexit),2018-04-12,5.67
Austria,2018-04-13,16.3
Belgium,2018-04-13,0.01
Bulgaria,2018-04-13,26.17
Croatia,2018-04-13,25.75
Czech Republic,2018-04-13,22.86
Denmark,2018-04-13,12.59
France,2018-04-13,3.37
Germany,2018-04-13,15.49
Hungary,2018-04-13,21.78
Ireland,2018-04-13,-
Italy,2018-04-13,36.12
Latvia,2018-04-13,13.85
Netherlands,2018-04-13,8.81
Poland,2018-04-13,36.78
Portugal,2018-04-13,50.57
Romania,2018-04-13,15.41
Slovakia,2018-04-13,5.73
Spain,2018-04-13,59.09
Sweden,2018-04-13,7.31
United Kingdom (Pre-Brexit),2018-04-13,4.86
Austria,2018-04-14,16.56
Belgium,2018-04-14,0.12
Bulgaria,2018-04-14,26.17
Croatia,2018-04-14,25.83
Czech Republic,2018-04-14,23.1
Denmark,2018-04-14,12.6
France,2018-04-14,3.45
Germany,2018-04-14,15.68
Hungary,2018-04-14,21.98
Ireland,2018-04-14,-
Italy,2018-04-14,36.52
Latvia,2018-04-14,13.72
Netherlands,2018-04-14,9.3
Poland,2018-04-14,36.82
Portugal,2018-04-14,51.16
Romania,2018-04-14,15.73
Slovakia,2018-04-14,6
Spain,2018-04-14,59.1
Sweden,2018-04-14,7.31
United Kingdom (Pre-Brexit),2018-04-14,7.4
Austria,2018-04-15,16.89
Belgium,2018-04-15,0.07
Bulgaria,2018-04-15,26.17
Croatia,2018-04-15,25.93
Czech Republic,2018-04-15,23.32
Denmark,2018-04-15,12.5
France,2018-04-15,3.8
Germany,2018-04-15,15.9
Hungary,2018-04-15,22.19
Ireland,2018-04-15,-
Italy,2018-04-15,36.93
Latvia,2018-04-15,13.6
Netherlands,2018-04-15,10.32
Poland,2018-04-15,36.88
Portugal,2018-04-15,51.93
Romania,2018-04-15,16.22
Slovakia,2018-04-15,6.31
Spain,2018-04-15,59.11
Sweden,2018-04-15,7.31
United Kingdom (Pre-Brexit),2018-04-15,9.31
Austria,2018-04-16,17.13
Belgium,2018-04-16,0.07
Bulgaria,2018-04-16,26.33
Croatia,2018-04-16,26.03
Czech Republic,2018-04-16,23.55
Denmark,2018-04-16,12.27
France,2018-04-16,3.99
Germany,2018-04-16,16
Hungary,2018-04-16,22.37
Ireland,2018-04-16,-
Italy,2018-04-16,37.21
Latvia,2018-04-16,13.5
Netherlands,2018-04-16,10.76
Poland,2018-04-16,37.13
Portugal,2018-04-16,52.72
Romania,2018-04-16,16.48
Slovakia,2018-04-16,6.6
Spain,2018-04-16,59.11
Sweden,2018-04-16,7.31
United Kingdom (Pre-Brexit),2018-04-16,9.37
Austria,2018-04-17,17.44
Belgium,2018-04-17,0.07
Bulgaria,2018-04-17,26.77
Croatia,2018-04-17,26.15
Czech Republic,2018-04-17,23.72
Denmark,2018-04-17,12.13
France,2018-04-17,4.32
Germany,2018-04-17,16.26
Hungary,2018-04-17,22.57
Ireland,2018-04-17,-
Italy,2018-04-17,37.44
Latvia,2018-04-17,13.42
Netherlands,2018-04-17,11.33
Poland,2018-04-17,37.4
Portugal,2018-04-17,53.51
Romania,2018-04-17,16.75
Slovakia,2018-04-17,6.92
Spain,2018-04-17,59.11
Sweden,2018-04-17,7.31
United Kingdom (Pre-Brexit),2018-04-17,9.15
Austria,2018-04-18,17.83
Belgium,2018-04-18,0.07
Bulgaria,2018-04-18,27.2
Croatia,2018-04-18,26.3
Czech Republic,2018-04-18,23.95
Denmark,2018-04-18,12.29
France,2018-04-18,4.72
Germany,2018-04-18,16.61
Hungary,2018-04-18,22.78
Ireland,2018-04-18,-
Italy,2018-04-18,37.78
Latvia,2018-04-18,13.32
Netherlands,2018-04-18,11.92
Poland,2018-04-18,37.66
Portugal,2018-04-18,54.3
Romania,2018-04-18,17.01
Slovakia,2018-04-18,7.15
Spain,2018-04-18,59.11
Sweden,2018-04-18,7.31
United Kingdom (Pre-Brexit),2018-04-18,12.25
Austria,2018-04-19,18.26
Belgium,2018-04-19,0.07
Bulgaria,2018-04-19,27.64
Croatia,2018-04-19,26.53
Czech Republic,2018-04-19,24.25
Denmark,2018-04-19,12.61
France,2018-04-19,5.16
Germany,2018-04-19,17.06
Hungary,2018-04-19,22.98
Ireland,2018-04-19,-
Italy,2018-04-19,38.1
Latvia,2018-04-19,13.23
Netherlands,2018-04-19,12.45
Poland,2018-04-19,37.92
Portugal,2018-04-19,55.08
Romania,2018-04-19,17.32
Slovakia,2018-04-19,7.45
Spain,2018-04-19,59.11
Sweden,2018-04-19,7.31
United Kingdom (Pre-Brexit),2018-04-19,13.66
Austria,2018-04-20,18.64
Belgium,2018-04-20,0.07
Bulgaria,2018-04-20,28.08
Croatia,2018-04-20,26.56
Czech Republic,2018-04-20,24.58
Denmark,2018-04-20,12.78
France,2018-04-20,5.62
Germany,2018-04-20,17.47
Hungary,2018-04-20,23.21
Ireland,2018-04-20,-
Italy,2018-04-20,38.61
Latvia,2018-04-20,13.15
Netherlands,2018-04-20,12.96
Poland,2018-04-20,38.18
Portugal,2018-04-20,55.65
Romania,2018-04-20,17.62
Slovakia,2018-04-20,7.8
Spain,2018-04-20,59.16
Sweden,2018-04-20,7.31
United Kingdom (Pre-Brexit),2018-04-20,13.86
Austria,2018-04-21,19.12
Belgium,2018-04-21,0.07
Bulgaria,2018-04-21,28.52
Croatia,2018-04-21,26.74
Czech Republic,2018-04-21,24.88
Denmark,2018-04-21,12.83
France,2018-04-21,6.12
Germany,2018-04-21,17.99
Hungary,2018-04-21,23.42
Ireland,2018-04-21,-
Italy,2018-04-21,39.12
Latvia,2018-04-21,13.07
Netherlands,2018-04-21,13.63
Poland,2018-04-21,38.43
Portugal,2018-04-21,55.65
Romania,2018-04-21,17.9
Slovakia,2018-04-21,8.16
Spain,2018-04-21,59.27
Sweden,2018-04-21,7.31
United Kingdom (Pre-Brexit),2018-04-21,18.19
Austria,2018-04-22,19.64
Belgium,2018-04-22,0.07
Bulgaria,2018-04-22,28.84
Croatia,2018-04-22,26.97
Czech Republic,2018-04-22,25.19
Denmark,2018-04-22,13.09
France,2018-04-22,6.63
Germany,2018-04-22,18.64
Hungary,2018-04-22,23.65
Ireland,2018-04-22,-
Italy,2018-04-22,39.64
Latvia,2018-04-22,12.99
Netherlands,2018-04-22,14.35
Poland,2018-04-22,38.69
Portugal,2018-04-22,55.65
Romania,2018-04-22,18.26
Slovakia,2018-04-22,8.53
Spain,2018-04-22,59.44
Sweden,2018-04-22,7.31
United Kingdom (Pre-Brexit),2018-04-22,23.89
Austria,2018-04-23,20.06
Belgium,2018-04-23,0.07
Bulgaria,2018-04-23,29.15
Croatia,2018-04-23,27.17
Czech Republic,2018-04-23,25.55
Denmark,2018-04-23,13.52
France,2018-04-23,7.05
Germany,2018-04-23,18.99
Hungary,2018-04-23,23.88
Ireland,2018-04-23,-
Italy,2018-04-23,40.06
Latvia,2018-04-23,12.91
Netherlands,2018-04-23,14.96
Poland,2018-04-23,38.95
Portugal,2018-04-23,55.65
Romania,2018-04-23,18.59
